strCodigo,strNombre
CAA,ESPOCH - CENTROS DE APOYO ACADÉMICO
FADE,ADMINISTRACIÓN DE EMPRESAS
FC,CIENCIAS
FCP,CIENCIAS PECUARIAS
FIE,INFORMÁTICA Y ELECTRÓNICA
FIM,MECÁNICA
FRN,RECURSOS NATURALES
FSP,SALUD PÚBLICA
FXM,EXTENSIONES - ESPOCH
